Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-12-27,211.64147052913233,214.49502509213931,208.08891070290525,212.72352600097656,4008568,0.0,0.0
2007-12-28,210.66472509278935,210.66472509278935,203.00418963486973,207.2462158203125,2196596,0.0,0.0
2007-12-31,207.40897223291338,209.90823097255398,201.47205797693897,206.3365020751953,2156168,0.0,0.0
2008-01-01,206.25991535470942,206.25991535470942,201.47208073644782,201.96044921875,928388,0.0,0.0
2008-01-02,203.00418410528272,203.19569748651412,197.54605274018786,201.08905029296875,2864924,0.0,0.0
2008-01-03,197.27792030320492,200.1314742285909,192.53796433463305,193.6295928955078,5168280,0.0,0.0
2008-01-04,193.6296107415345,195.89905142786893,191.9538685779973,192.50926208496094,2318868,0.0,0.0
2008-01-07,191.51335409963443,193.19866927790173,186.24673686189448,186.84042358398438,3647344,0.0,0.0
2008-01-08,187.68310238398254,189.98126282133742,185.6339069895314,189.1864776611328,3207732,0.0,0.0
2008-01-09,190.51750898138457,192.66246118527297,189.57910042840467,190.80477905273438,2450128,0.0,0.0
2008-01-10,191.1303851174326,193.33278935475772,184.23590228754526,187.9991455078125,3342376,0.0,0.0
2008-01-11,175.30175489748055,192.27941946948408,175.30175489748055,189.55035400390625,2149188,0.0,0.0
2008-01-14,191.47504296784643,191.47504296784643,183.0101506495309,184.07305908203125,4158864,0.0,0.0
2008-01-15,184.81048032070728,185.3850206740359,178.8735633363115,180.02264404296875,2935588,0.0,0.0
2008-01-16,180.02263296856924,185.13604413644447,177.14993137864525,180.9706268310547,3131956,0.0,0.0
2008-01-17,184.96361828520656,185.00192329864754,176.0007945253179,176.7093963623047,6302096,0.0,0.0
2008-01-18,178.0116520923158,180.02254219126075,171.8066151113813,172.974853515625,4333816,0.0,0.0
2008-01-21,173.12808320082303,173.26214489509348,154.2161382715296,159.1571807861328,4840032,0.0,0.0
2008-01-22,156.02603919946077,189.5983509181701,138.8472771875488,153.2586669921875,6376872,0.0,0.0
2008-01-23,165.12905116950273,171.0883067996012,154.74841232997636,167.6184844970703,5359120,0.75,0.0
2008-01-24,167.24362501997712,170.7038379514249,158.73726823016793,162.1013641357422,2013336,0.0,0.0
2008-01-25,163.97567021723023,172.56853593864446,163.4181866920928,170.05026245117188,2243116,0.0,0.0
2008-01-28,167.2435858965706,167.2435858965706,158.59305559157556,164.2255096435547,2485660,0.0,0.0
2008-01-29,164.5523424817132,170.05023147422,164.36010843675794,166.80148315429688,3258712,0.0,0.0
2008-01-30,169.55044657373034,171.4727872378316,165.32129711270758,167.2147979736328,3032856,0.0,0.0
2008-01-31,167.24353917985513,171.088218241461,160.58262801241122,167.96441650390625,5966956,0.0,0.0
2008-02-01,170.12711933827518,180.91144390480977,167.87797880380637,178.68153381347656,4169520,0.0,0.0
2008-02-04,181.66121266433325,190.11951251325456,180.50780813948032,187.55319213867188,3730520,0.0,0.0
2008-02-05,184.54465459392688,187.42816482195698,179.86376101697124,183.5930938720703,1722872,0.0,0.0
2008-02-06,178.7776562822698,178.7776562822698,171.95334789730143,174.18325805664062,4007952,0.0,0.0
2008-02-07,174.18331323465134,174.18331323465134,167.4455103794361,168.98338317871094,2574652,0.0,0.0
2008-02-08,169.93491916035086,177.81651608973365,169.16598287455741,172.70309448242188,2576820,0.0,0.0
2008-02-11,172.70306534266675,179.1621243602962,165.34049226203373,174.18325805664062,3200988,0.0,0.0
2008-02-12,173.9718028562744,177.8164835823799,165.32127122253698,166.2151641845703,5161328,0.0,0.0
2008-02-13,168.20477684466897,172.43392551962063,163.6488279709551,167.04176330566406,2185376,0.0,0.0
2008-02-14,170.12709857247722,173.01060871777344,165.51348234000326,167.9740753173828,2246480,0.0,0.0
2008-02-15,165.32130494798795,170.52123434422137,165.32130494798795,167.76268005371094,2213044,0.0,0.0
2008-02-18,167.76267882508776,168.2048148489405,163.39896299611362,164.0141143798828,1723160,0.0,0.0
2008-02-19,164.5523359115042,169.93488895533847,164.3601018742244,168.29129028320312,1947288,0.0,0.0
2008-02-20,169.14670531104503,171.98215687839703,167.86834448746654,170.3385467529297,3060624,0.0,0.0
2008-02-21,172.6261422779402,178.96986465563734,169.55039809481434,175.82684326171875,3562052,0.0,0.0
2008-02-22,176.8552867981406,177.02830209800402,170.1270965395157,173.1163330078125,2401516,0.0,0.0
2008-02-25,178.3932405504094,178.5854746458301,171.13640344827797,173.1548614501953,3255460,0.0,0.0
2008-02-26,177.6242820182853,177.6242820182853,172.04949394628284,172.70309448242188,4999584,0.0,0.0
2008-02-27,174.54852136759092,175.86531994680843,168.0221728751361,168.6949920654297,2364056,0.0,0.0
2008-02-28,170.12709822634295,171.08826827281945,167.62805610550402,169.3389434814453,5579004,0.0,0.0
2008-02-29,169.16598737753492,171.41512841995726,165.99412511420616,168.6661834716797,3416480,0.0,0.0
2008-03-03,166.4747147509016,166.993749118095,161.4766286267406,163.1298370361328,3141328,0.0,0.0
2008-03-04,164.93679130048594,167.2435995704228,162.84143576207984,165.090576171875,3010532,0.0,0.0
2008-03-05,162.43773270394533,169.7041756782964,162.43773270394533,168.26242065429688,2209348,0.0,0.0
2008-03-07,165.8210846892586,166.49390385554503,161.909126515636,162.65884399414062,1996828,0.0,0.0
2008-03-10,162.65878408383745,164.16781610777505,159.55420066680713,160.255859375,2494168,0.0,0.0
2008-03-11,161.47662609218466,161.47662609218466,157.6319445185612,158.3047637939453,4043520,0.0,0.0
2008-03-12,161.28436467222403,163.39893917924962,155.75763584704353,158.31434631347656,1884412,0.0,0.0
