,Open,Date,Sector
91,14597.142920556003,2022-03-23 00:00:00,Healthcare
92,14724.675324675325,2022-03-24 00:00:00,Healthcare
93,14900.25967684659,2022-03-25 00:00:00,Healthcare
94,14919.48051948052,2022-03-28 00:00:00,Healthcare
95,15110.649287236203,2022-03-29 00:00:00,Healthcare
96,15103.896103896104,2022-03-30 00:00:00,Healthcare
97,15361.298637885551,2022-03-31 00:00:00,Healthcare
98,15305.454482041394,2022-04-01 00:00:00,Healthcare
99,15383.376559963473,2022-04-04 00:00:00,Healthcare
100,15296.62340832995,2022-04-05 00:00:00,Healthcare
101,15502.857079443991,2022-04-06 00:00:00,Healthcare
102,15964.675388088477,2022-04-07 00:00:00,Healthcare
103,16212.987012987012,2022-04-08 00:00:00,Healthcare
104,16440.25974025974,2022-04-11 00:00:00,Healthcare
105,16228.051916345374,2022-04-12 00:00:00,Healthcare
106,16088.311688311689,2022-04-13 00:00:00,Healthcare
107,15850.129838423296,2022-04-14 00:00:00,Healthcare
108,895.7619081343341,2022-02-24 00:00:00,Financial Services
109,886.3825173420043,2022-02-25 00:00:00,Financial Services
110,878.6694514297205,2022-02-28 00:00:00,Financial Services
111,873.303100429121,2022-03-01 00:00:00,Financial Services
112,828.8821099540525,2022-03-02 00:00:00,Financial Services
113,861.8285203015183,2022-03-03 00:00:00,Financial Services
114,831.7133924837956,2022-03-04 00:00:00,Financial Services
115,771.718605836219,2022-03-07 00:00:00,Financial Services
116,587.2958596993627,2022-03-08 00:00:00,Financial Services
117,814.2770236692108,2022-03-09 00:00:00,Financial Services
118,830.649338759385,2022-03-10 00:00:00,Financial Services
119,827.1298693372057,2022-03-11 00:00:00,Financial Services
120,848.7142983969156,2022-03-14 00:00:00,Financial Services
121,845.3766265472809,2022-03-15 00:00:00,Financial Services
122,853.2986925793932,2022-03-16 00:00:00,Financial Services
123,878.6753270533178,2022-03-17 00:00:00,Financial Services
124,874.6233853426846,2022-03-18 00:00:00,Financial Services
125,870.88311926111,2022-03-21 00:00:00,Financial Services
126,881.9480400580865,2022-03-22 00:00:00,Financial Services
127,890.7792128525771,2022-03-23 00:00:00,Financial Services
128,884.6493609539874,2022-03-24 00:00:00,Financial Services
