Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,year,USD_value,OpenUSD,HighUSD,LowUSD,CloseUSD
1967-02-06,0.0,0.1603079228270041,0.1565870421673744,0.15689717233181,1977600,0.0,0.0,1967,1,0.0,0.1603079228270041,0.1565870421673744,0.15689717233181
1967-02-07,0.0,0.1575173349660587,0.1565870955585915,0.1572072803974151,1097600,0.0,0.0,1967,1,0.0,0.1575173349660587,0.1565870955585915,0.1572072803974151
1967-02-08,0.0,0.1590677774598901,0.156897318495926,0.1584476679563522,1590400,0.0,0.0,1967,1,0.0,0.1590677774598901,0.156897318495926,0.1584476679563522
1967-02-09,0.0,0.1606182026218976,0.1584476679563522,0.1584476679563522,1833600,0.0,0.0,1967,1,0.0,0.1606182026218976,0.1584476679563522,0.1584476679563522
1967-02-10,0.0,0.1584475203479446,0.1556568787786,0.15689717233181,1875200,0.0,0.0,1967,1,0.0,0.1584475203479446,0.1556568787786,0.15689717233181
1967-02-13,0.0,0.1575173457979727,0.1553468122651348,0.1559669971466064,1491200,0.0,0.0,1967,1,0.0,0.1575173457979727,0.1553468122651348,0.1559669971466064
1967-02-14,0.0,0.1568972603853083,0.1550367811606044,0.1562770754098892,1740800,0.0,0.0,1967,1,0.0,0.1568972603853083,0.1550367811606044,0.1562770754098892
1967-02-15,0.0,0.157517369659174,0.1562770754098892,0.1562770754098892,1475200,0.0,0.0,1967,1,0.0,0.157517369659174,0.1562770754098892,0.1562770754098892
1967-02-16,0.0,0.1575173457979727,0.1556569425566415,0.1559669971466064,1795200,0.0,0.0,1967,1,0.0,0.1575173457979727,0.1556569425566415,0.1559669971466064
1967-02-17,0.0,0.1559671517619845,0.1547268564710375,0.15503691136837,2160000,0.0,0.0,1967,1,0.0,0.1559671517619845,0.1547268564710375,0.15503691136837
1967-02-20,0.0,0.1553469031703483,0.1522462040531624,0.1537965536117553,3702400,0.0,0.0,1967,1,0.0,0.1553469031703483,0.1522462040531624,0.1537965536117553
1967-02-21,0.0,0.1547267989170905,0.152556264039906,0.152866318821907,2009600,0.0,0.0,1967,1,0.0,0.1547267989170905,0.152556264039906,0.152866318821907
1967-02-23,0.0,0.1537965536117553,0.1525562588245638,0.1537965536117553,2009600,0.0,0.0,1967,1,0.0,0.1537965536117553,0.1525562588245638,0.1537965536117553
1967-02-24,0.0,0.1547267989170905,0.152556264039906,0.152866318821907,2195200,0.0,0.0,1967,1,0.0,0.1547267989170905,0.152556264039906,0.152866318821907
1967-02-27,0.0,0.1537964256083379,0.1506957290718346,0.151315838098526,3644800,0.0,0.0,1967,1,0.0,0.1537964256083379,0.1506957290718346,0.151315838098526
1967-02-28,0.0,0.1510058691220151,0.1497655746645479,0.1500756293535232,3020800,0.0,0.0,1967,1,0.0,0.1510058691220151,0.1497655746645479,0.1500756293535232
1967-03-01,0.0,0.1513158425777748,0.1500755487861537,0.1503856033086776,4646400,0.0,0.0,1967,1,0.0,0.1513158425777748,0.1500755487861537,0.1503856033086776
1967-03-02,0.0,0.1531764864921569,0.1513160059453046,0.1531764864921569,5372800,0.0,0.0,1967,1,0.0,0.1531764864921569,0.1513160059453046,0.1531764864921569
1967-03-03,0.0,0.1556569933891296,0.1541065685299034,0.1556569933891296,3328000,0.0,0.0,1967,1,0.0,0.1556569933891296,0.1541065685299034,0.1556569933891296
1967-03-06,0.0,0.1575173457979727,0.1556569425566415,0.1559669971466064,2534400,0.0,0.0,1967,1,0.0,0.1575173457979727,0.1556569425566415,0.1559669971466064
1967-03-07,0.0,0.1559671303392661,0.1544167803639335,0.1553469449281692,1785600,0.0,0.0,1967,1,0.0,0.1559671303392661,0.1544167803639335,0.1553469449281692
1967-03-08,0.0,0.1556569446114504,0.1544166505336761,0.1544166505336761,1680000,0.0,0.0,1967,1,0.0,0.1556569446114504,0.1544166505336761,0.1544166505336761
1967-03-09,0.0,0.154416745204831,0.153176450366646,0.1534865051507949,2092800,0.0,0.0,1967,1,0.0,0.154416745204831,0.153176450366646,0.1534865051507949
